,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
NKX3-1,False,False,0.08557196229104257,0.08588204095160022,8.666785493126003
GID8,True,True,0.0040183539584087566,0.004103914418629694,3.2301213670000024
TCP11L1,False,False,0.6205077444017733,0.6206167355138527,0.7826676964000026
GPR158,False,False,0.5568388889247874,0.5569717948796822,0.5592400126081174
DTX2,False,False,0.6231658674595673,0.6232739083241716,0.6009072426000088
RPL36AL,True,True,0.005675760818446606,0.0057805265065136655,23.14711914000003
SERPIND1,False,False,0.2165307688755963,0.21682156898568716,1.1384583964082
SYCP2,True,True,0.00033944680724158426,0.0003558466301975284,3.5139692367199986
DIDO1,True,True,0.00044684935172894456,0.00046682486747894725,5.542475796000005
SPDYE5,False,False,0.7467866584819179,0.7468542917907363,0.44050512277799925
OR5AN1,False,False,0.27586513890844633,0.27612817346328933,1.2480129051378168
C2orf57,False,False,0.5941282666289971,0.5942468937881817,0.6145369413111055
TMTC3,False,False,0.3290625037192213,0.3292990155229216,1.1644668340000015
TIMM23B,True,True,0.048101266404931314,0.04837625568499885,2.7652117229799984
CDK5,False,False,0.10866125735034479,0.10897764504793221,2.839254450000002
TP53BP1,False,False,0.15327735330986092,0.153590202848614,1.839591396599996
RGS2,False,False,0.0936106439620517,0.09392381845714853,50.864973955400046
SLITRK1,False,False,0.34907272752049745,0.34929925758434144,0.9070925298061442
SGK223,True,True,0.009953803386014476,0.010096341570506972,4.573386695
ADGRL1,True,True,0.0041926791526824495,0.004280439727060857,4.295793297540001
GMDS,False,False,0.7062972513758374,0.7063773582675834,0.5647598767999966
SRP14,True,True,1.2766584900613453e-05,1.4095121720104426e-05,36.527976600000045
MX1,True,True,0.021402761510755854,0.02160818657244156,50.910911140999985
C5orf67,False,False,0.28395870297836023,0.28421774143764683,0.9699391077400004
C17orf51,False,False,0.7107695234589331,0.7108482190407387,0.681494626720001
CASD1,False,False,0.2563392820530829,0.2566118163160412,1.7675225885999986
THTPA,True,True,0.0001702216975877803,0.00018010717942801993,2.7458562121999996
ITK,True,True,5.435654413836446e-18,2.1352469436259515e-17,19.911169574751003
ABCB4,True,True,0.0007318408856880668,0.0007600987486526939,5.107388467564001
FEZ2,False,False,0.4170895908217569,0.4172830811279856,1.0202799347999978
PPP1R36,False,False,0.8603725959046421,0.8604082799781457,0.11772262801350786
DHRS11,False,False,0.9672482869821744,0.9672564995022994,0.07923085484000048
PTMA,True,True,0.0019248119482296723,0.0019788719473684663,116.14037202000054
PTGES,False,False,0.9599104780176433,0.9599205361168566,0.12430069534719479
OSBPL1A,False,False,0.71016697120511,0.7102458564297867,0.3860337818440023
RAI14,False,False,0.08381809602618555,0.08412734764782771,4.203719586340004
C17orf97,False,False,0.7354076881629559,0.7354787598133947,0.15885960003359978
AF165138.7,False,False,0.3694072566457962,0.36962373442380425,1.7794796068213743
DOK1,False,False,0.06066226935976588,0.06095397378794277,1.4331624917799974
GOLIM4,True,True,5.646928240613703e-05,6.075013171976057e-05,4.553937559000001
VAPA,False,False,0.6214061564168709,0.6215148259390102,0.9807134739999981
TES,True,True,6.115594311946043e-33,7.013194337791157e-31,31.19095620600001
LACTB,False,False,0.805132046236913,0.8051827831927361,0.4350215137999953
SHROOM3,False,False,0.4012495480695011,0.4014505678007152,1.6638350913096014
DACH2,False,False,0.5308902159805613,0.5310335268870232,0.6666830899829301
ZNF418,False,False,0.3231235377809628,0.3233630218218879,1.5004876258100008
GATA1,False,False,0.16141581006684613,0.16172661841862448,1.3573997961384006
C1orf233,False,False,0.29357080504972666,0.2938250680742187,1.7677712789820008
RABL2A,False,False,0.32266799512130917,0.32290770723539997,2.4000324218900007
NTNG2,True,True,1.4125798512360799e-08,1.8494451210688565e-08,5.220617890528
PIP4K2C,True,True,0.00015250494025908687,0.0001616127916245418,11.233704604000003
CD47,True,True,0.0036989221725813354,0.0037803185563427895,15.786368915999986
RHBDF2,True,True,0.0013840922190604522,0.0014276474786091141,14.642296880000018
ACTR8,False,False,0.9950160285792866,0.9950172769450196,0.013549504399996692
KIR2DS5,True,True,0.015410072113296907,0.015587232920625046,2.8880414728803396
RHOC,True,True,3.0307558556251105e-19,1.4661709091198303e-18,99.28411313199999
CCDC53,False,False,0.07655405393402827,0.07685922337152065,3.117265663800005
CAT,False,False,0.16314478864155202,0.16345512358344932,7.182194691999982
SERTAD4,False,False,0.7268063656965228,0.7268800704555797,0.2948258357105118
NUDT5,False,False,0.1745083206661333,0.17481523604946378,3.13508637999999
RNMT,False,False,0.21980517367950303,0.2200945523569019,1.691633476400007
RRBP1,False,False,0.26223265849914146,0.2625023510457034,5.253186917999997
WRN,True,True,0.04721561052353997,0.04748915356595502,1.1729255567999992
MEIS1,False,False,0.06664183990742453,0.06693945102565452,3.4677667160716
GATSL3,False,False,0.419238695005435,0.41943117287951814,1.709321295971999
LRIT3,False,False,0.8750910851372519,0.8751228808425603,0.05442930618888475
OR4S2,False,False,0.9050333778751614,0.9050573884193189,0.08574048737469209
LIN7C,False,False,0.28404640349631183,0.2843053985151818,1.3418072716000005
TMEM165,False,False,0.2449765288718222,0.24525446199910078,2.0086471340000003
UTP14C,False,False,0.36349079288480857,0.3637101832581614,0.7656712953999989
CIAO1,True,True,1.383107090196058e-05,1.5247497710734625e-05,5.3413416149999975
